"activateable","associateEntityType","associateParentEntity","createable","custom","customSetting","deepCloneable","deletable","deprecatedAndHidden","feedEnabled","hasSubtypes","idEnabled","isInterface","isSubtype","keyPrefix","label","labelPlural","layoutable","mergeable","mruEnabled","name","queryable","replicateable","retrieveable","searchable","triggerable","undeletable","updateable"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","aF8","HG IT Lead Spend","HG IT Lead Spend","true","false","false","HG_Data_Connect__HG_IT_Lead_Spend__c","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: HG IT Spend","Change Event: HG IT Spend","false","false","false","HG_Data_Connect__HG_IT_Spend__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: HG IT Spend","Tag: HG IT Spend","false","false","false","HG_Data_Connect__HG_IT_Spend__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","aF9","HG IT Spend","HG IT Spend","true","false","false","HG_Data_Connect__HG_IT_Spend__c","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: HLContactLog","Change Event: HLContactLog","false","false","false","HLContactLog__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Share: HLContactLog","Share: HLContactLog","false","false","false","HLContactLog__Share","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: HLContactLog","Tag: HLContactLog","false","false","false","HLContactLog__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","aEJ","HLContactLog","HLContactLogs","true","false","false","HLContactLog__c","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: HL Community Activity","Change Event: HL Community Activity","false","false","false","HL_Community_Activity__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Share: HL Community Activity","Share: HL Community Activity","false","false","false","HL_Community_Activity__Share","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: HL Community Activity","Tag: HL Community Activity","false","false","false","HL_Community_Activity__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","aEn","HL Community Activity","HL Community Activities","true","false","false","HL_Community_Activity__c","true","true","true","false","true","true","true"
"false",,,"false","true","false",,"false","false","false","false","true",,"false","m0p","HL Customer Profile","HL Customer Profiles","true","false","true","HL_Customer_Profile__mdt","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Heroku Archive Settings","Change Event: Heroku Archive Settings","false","false","false","HerokuArchiveSettings__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Heroku Archive Settings","Tag: Heroku Archive Settings","false","false","false","HerokuArchiveSettings__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","true",,"true","false","false","false","true",,"false","a8L","Heroku Archive Settings","Heroku Archive Settings","true","false","false","HerokuArchiveSettings__c","true","true","true","true","false","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0C0","Holiday","Holidays","false","false","false","Holiday","true","true","true","true","false","false","true"
"false",,,"false","true","false",,"false","false","false","false","true",,"false","m1R","IGS Tagging","IGS Tagging","true","false","true","IGS_Tagging__mdt","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: FlexProtect License Codes","Change Event: FlexProtect License Codes","false","false","false","IMP_FlexProtect_License_Codes__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: FlexProtect License Codes","Tag: FlexProtect License Codes","false","false","false","IMP_FlexProtect_License_Codes__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","true",,"true","false","false","false","true",,"false","aF0","FlexProtect License Codes","FlexProtect License Codes","true","false","false","IMP_FlexProtect_License_Codes__c","true","true","true","true","false","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Slack Settings","Change Event: Slack Settings","false","false","false","IMP_SlackSettings__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Slack Settings","Tag: Slack Settings","false","false","false","IMP_SlackSettings__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","true",,"true","false","false","false","true",,"false","aBF","Slack Settings","Slack Settings","true","false","false","IMP_SlackSettings__c","true","true","true","true","false","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","087","Idea","Ideas","true","false","true","Idea","true","true","true","true","true","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","00a","Idea Comment","Idea Comments","false","false","false","IdeaComment","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","0Yu","Identity Provider Event Log","Identity Event Logs","false","false","false","IdpEventLog","true","false","true","false","false","false","false"
"false",,,"false","true","false",,"false","false","false","false","true",,"false","m0c","ImpervaEmail2CaseEmailIds","ImpervaEmail2CaseEmailIds","true","false","true","ImpervaEmail2CaseEmailIds__mdt","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Imperva Discount Approval Matrix","Change Event: Imperva Discount Approval Matrix","false","false","false","Imperva_Discount_Approval_Matrix__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Imperva Discount Approval Matrix","Tag: Imperva Discount Approval Matrix","false","false","false","Imperva_Discount_Approval_Matrix__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a3r","Imperva Discount Approval Matrix","Imperva Discount Approval Matrix","true","false","true","Imperva_Discount_Approval_Matrix__c","true","true","true","true","true","true","true"
"false",,,"false","true","false",,"false","false","false","false","true",,"false","m0d","Imperva Internal User Pool","Imperva Internal User_Pool","true","false","true","Imperva_Internal_User_Pool__mdt","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Imperva Settings","Change Event: Imperva Settings","false","false","false","Imperva_Settings__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Imperva Settings","Tag: Imperva Settings","false","false","false","Imperva_Settings__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","true",,"true","false","false","false","true",,"false","a1m","Imperva Settings","Imperva Settings","true","false","false","Imperva_Settings__c","true","true","true","true","false","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Imperva Support Email Addresses","Change Event: Imperva Support Email Addresses","false","false","false","Imperva_Support_Email_Addresses__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Imperva Support Email Addresses","Tag: Imperva Support Email Addresses","false","false","false","Imperva_Support_Email_Addresses__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","true",,"true","false","false","false","true",,"false","a1j","Imperva Support Email Addresses","Imperva Support Email Addresses","true","false","false","Imperva_Support_Email_Addresses__c","true","true","true","true","false","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Incapsula Account","Change Event: Incapsula Account","false","false","false","Incapsula_Account__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"History: Incapsula Account","History: Incapsula Account","false","false","false","Incapsula_Account__History","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Incapsula Account","Tag: Incapsula Account","false","false","false","Incapsula_Account__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a5W","Incapsula Account","Incapsula Accounts","true","false","true","Incapsula_Account__c","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","0El","Installed Mobile App","Installed Mobile Apps","false","false","false","InstalledMobileApp","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Integration Queue","Change Event: Integration Queue","false","false","false","IntegrationQueue__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Integration Queue","Tag: Integration Queue","false","false","false","IntegrationQueue__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a1W","Integration Queue","Integration Queue","true","false","false","IntegrationQueue__c","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Action Template","Change Event: Action Template","false","false","false","JBCXM__ActionTemplates__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Action Template","Tag: Action Template","false","false","false","JBCXM__ActionTemplates__Tag","true","false","true","false","false","false","false"
